iter	Passed	Remaining
0	0	758
1	1	580
2	1	556
3	2	546
4	2	527
5	3	529
6	3	517
7	4	504
8	4	494
9	5	496
10	5	491
11	5	483
12	6	477
13	6	473
14	7	505
15	8	503
16	8	503
17	9	499
18	9	495
19	10	492
20	10	488
21	10	485
22	11	481
23	11	477
24	12	476
25	12	475
26	13	473
27	13	471
28	14	470
29	14	465
30	14	463
31	15	461
32	15	459
33	16	457
34	16	455
35	16	454
36	17	454
37	17	451
38	18	450
39	18	450
40	19	449
41	19	449
42	20	450
43	20	449
44	21	447
45	21	446
46	21	445
47	22	444
48	22	443
49	23	443
50	23	442
51	24	442
52	24	441
53	25	440
54	25	439
55	26	438
56	26	436
57	26	435
58	27	434
59	27	433
60	28	432
61	28	432
62	29	431
63	29	430
64	29	429
65	30	428
66	30	427
67	31	426
68	31	423
69	31	422
70	32	420
71	32	419
72	33	419
73	33	418
74	33	415
75	34	415
76	34	414
77	34	413
78	35	412
79	35	411
80	36	410
81	36	409
82	37	408
83	37	407
84	37	406
85	38	406
86	38	406
87	39	406
88	39	405
89	40	404
90	40	403
91	40	402
92	41	402
93	41	401
94	42	400
95	42	399
96	42	398
97	43	397
98	43	398
99	44	397
100	44	396
101	45	396
102	45	394
103	45	393
104	46	393
105	46	391
106	46	390
107	47	389
108	47	388
109	47	387
110	48	386
111	48	385
112	49	385
113	49	384
114	49	384
115	50	383
116	50	382
117	51	382
118	51	381
119	51	380
120	52	378
121	52	378
122	52	377
123	53	376
124	53	376
125	54	376
126	54	376
127	55	375
128	55	375
129	55	374
130	56	374
131	56	372
132	57	372
133	57	371
134	57	370
135	58	370
136	58	369
137	59	369
138	59	368
139	60	368
140	60	368
141	60	367
142	61	367
143	61	366
144	62	365
145	62	365
146	62	364
147	63	364
148	63	363
149	64	363
150	64	362
151	65	362
152	65	362
153	65	361
154	66	361
155	66	359
156	66	359
157	67	358
158	67	357
159	68	357
160	68	356
161	68	356
162	69	355
163	69	355
164	70	355
165	70	354
166	71	354
167	71	353
168	71	353
169	72	352
170	72	352
171	73	351
172	73	350
173	73	350
174	74	349
175	74	349
176	75	348
177	75	349
178	76	348
179	76	348
180	76	347
181	77	347
182	77	346
183	78	346
184	78	345
185	78	344
186	79	344
187	79	343
188	80	343
189	80	342
190	80	342
191	81	342
192	81	341
193	82	341
194	82	340
195	82	340
196	83	339
197	83	338
198	84	338
199	84	337
200	84	337
201	85	336
202	85	336
203	86	336
204	86	335
205	86	335
206	87	334
207	87	334
208	88	333
209	88	333
210	88	332
211	89	332
212	89	331
213	90	331
214	90	330
215	90	330
216	91	329
217	91	329
218	92	328
219	92	328
220	93	327
221	93	327
222	93	326
223	94	326
224	94	325
225	94	325
226	95	324
227	95	324
228	96	323
229	96	324
230	97	324
231	97	323
232	98	323
233	98	322
234	99	322
235	99	321
236	99	321
237	100	320
238	100	320
239	101	319
240	101	319
241	101	319
242	102	319
243	102	318
244	103	318
245	103	317
246	104	317
247	104	316
248	104	316
249	105	316
250	105	315
251	106	315
252	106	314
253	107	314
254	107	314
255	108	314
256	108	313
257	108	313
258	109	312
259	109	312
260	110	311
261	110	311
262	110	310
263	111	310
264	111	309
265	112	309
266	112	308
267	112	308
268	113	308
269	113	307
270	114	307
271	114	306
272	115	306
273	115	305
274	115	305
275	116	305
276	116	304
277	117	304
278	117	304
279	118	303
280	118	303
281	118	302
282	119	302
283	119	301
284	120	301
285	120	300
286	120	300
287	121	299
288	121	299
289	122	298
290	122	298
291	122	298
292	123	297
293	123	297
294	124	296
295	124	296
296	124	295
297	125	295
298	125	294
299	126	294
300	126	293
301	126	293
302	127	292
303	127	292
304	128	291
305	128	291
306	128	291
307	129	290
308	129	290
309	130	289
310	130	289
311	130	288
312	131	288
313	131	287
314	132	287
315	132	286
316	133	286
317	133	287
318	134	286
319	134	286
320	135	285
321	135	285
322	135	284
323	136	284
324	136	284
325	137	283
326	137	283
327	137	282
328	138	282
329	138	281
330	139	281
331	139	280
332	140	280
333	140	280
334	140	279
335	141	279
336	141	278
337	142	278
338	142	277
339	142	277
340	143	276
341	143	276
342	144	276
343	144	275
344	144	275
345	145	274
346	145	274
347	146	273
348	146	273
349	146	272
350	147	272
351	147	271
352	148	271
353	148	271
354	149	270
355	149	270
356	149	269
357	150	269
358	150	268
359	151	268
360	151	268
361	151	267
362	152	267
363	152	266
364	153	266
365	153	265
366	153	265
367	154	265
368	154	264
369	155	264
370	155	263
371	155	263
372	156	262
373	156	262
374	157	261
375	157	261
376	157	260
377	158	260
378	158	260
379	159	259
380	159	259
381	159	258
382	160	258
383	160	257
384	161	257
385	161	256
386	161	256
387	162	255
388	162	255
389	163	255
390	163	254
391	163	254
392	164	253
393	164	253
394	165	252
395	165	252
396	165	252
397	166	251
398	166	251
399	167	250
400	167	250
401	167	249
402	168	249
403	168	248
404	169	248
405	169	247
406	169	247
407	170	247
408	170	246
409	171	246
410	171	245
411	171	245
412	172	244
413	172	244
414	173	243
415	173	243
416	173	243
417	174	242
418	174	242
419	175	241
420	175	241
421	176	241
422	176	241
423	177	240
424	177	240
425	177	239
426	178	239
427	178	238
428	179	238
429	179	238
430	179	237
431	180	237
432	181	237
433	181	236
434	181	236
435	182	235
436	182	235
437	183	234
438	183	234
439	183	233
440	184	233
441	184	233
442	184	232
443	185	232
444	185	231
445	186	231
446	186	231
447	187	230
448	187	230
449	188	229
450	188	229
451	188	228
452	189	228
453	189	228
454	190	227
455	190	227
456	191	227
457	191	227
